identity_id,expected_looks,expected_sex,editorial_ethnicity,split,image_id,relative_path,filename,timestamp,outcome,refusal_reason,model_raw,bp,cv,sex,sex_conf,sex_source,reliability
casey-anthony,4.4,f,white,train,casey-anthony/1.jpg,images/roster/casey-anthony/1.jpg,1.jpg,2026-08-18T10:57:59.348Z,refused,This angle is too far off to measure — head tilted sideways (~33°). Retake facing the camera square-on.,,,,,,,
casey-anthony,4.4,f,white,train,casey-anthony/2.jpg,images/roster/casey-anthony/2.jpg,2.jpg,2026-08-18T10:57:59.905Z,scored,,3.743,6.71,6.71,f,100%,model,
chloe-grace-moretz,7.4,f,white,train,chloe-grace-moretz/1.jpg,images/roster/chloe-grace-moretz/1.jpg,1.jpg,2026-08-18T10:58:00.114Z,scored,,2.745,5.03,5.03,f,100%,model,
chloe-grace-moretz,7.4,f,white,train,chloe-grace-moretz/4.jpg,images/roster/chloe-grace-moretz/4.jpg,4.jpg,2026-08-18T10:58:00.336Z,scored,,3.375,6.31,6.31,f,100%,model,non-standard framing (head turned (~14°)) — scored on your override; expect a rougher read.
chloe-grace-moretz,7.4,f,white,train,chloe-grace-moretz/6.jpg,images/roster/chloe-grace-moretz/6.jpg,6.jpg,2026-08-18T10:58:00.548Z,scored,,3.530,6.45,6.45,f,100%,model,
chloe-grace-moretz,7.4,f,white,train,chloe-grace-moretz/7.jpg,images/roster/chloe-grace-moretz/7.jpg,7.jpg,2026-08-18T10:58:00.766Z,scored,,4.213,8.14,8.14,f,100%,model,non-standard framing (head turned (~16°)) — scored on your override; expect a rougher read.
chloe-grace-moretz,7.4,f,white,train,chloe-grace-moretz/8.jpg,images/roster/chloe-grace-moretz/8.jpg,8.jpg,2026-08-18T10:58:00.980Z,scored,,4.294,8.55,8.55,f,100%,model,
chris-brown,7.5,m,black,train,chris-brown/1.jpg,images/roster/chris-brown/1.jpg,1.jpg,2026-08-18T10:58:01.198Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
chris-brown,7.5,m,black,train,chris-brown/2.jpg,images/roster/chris-brown/2.jpg,2.jpg,2026-08-18T10:58:01.765Z,scored,,2.409,3.50,3.50,m,97%,model,
chris-brown,7.5,m,black,train,chris-brown/3.jpg,images/roster/chris-brown/3.jpg,3.jpg,2026-08-18T10:58:01.960Z,scored,,2.229,2.84,2.84,f,68%,model,non-standard framing (head turned (~17°)) — scored on your override; expect a rougher read.
chris-brown,7.5,m,black,train,chris-brown/4.jpg,images/roster/chris-brown/4.jpg,4.jpg,2026-08-18T10:58:02.159Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
chris-hemsworth,9.5,m,white,holdout,chris-hemsworth/3.jpg,images/roster/chris-hemsworth/3.jpg,3.jpg,2026-08-18T10:58:02.709Z,scored,,3.298,6.24,6.24,m,100%,model,
chris-hemsworth,9.5,m,white,holdout,chris-hemsworth/4.jpg,images/roster/chris-hemsworth/4.jpg,4.jpg,2026-08-18T10:58:02.919Z,scored,,2.716,4.86,4.86,m,100%,model,"small/distant face (~144px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~18°)) — scored on your override; expect a rougher read."
chris-hemsworth,9.5,m,white,holdout,chris-hemsworth/5.jpg,images/roster/chris-hemsworth/5.jpg,5.jpg,2026-08-18T10:58:03.129Z,scored,,3.838,6.85,6.85,m,100%,model,"small/distant face (~110px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~21°)) — scored on your override; expect a rougher read."
chris-hemsworth,9.5,m,white,holdout,chris-hemsworth/6.jpg,images/roster/chris-hemsworth/6.jpg,6.jpg,2026-08-18T10:58:03.339Z,scored,,2.804,5.34,5.34,m,100%,model,
chris-hemsworth,9.5,m,white,holdout,chris-hemsworth/7.jpg,images/roster/chris-hemsworth/7.jpg,7.jpg,2026-08-18T10:58:03.580Z,scored,,3.266,6.21,6.21,m,100%,model,
conor-mcgregor,7.0,m,white,train,conor-mcgregor/1.jpg,images/roster/conor-mcgregor/1.jpg,1.jpg,2026-08-18T10:58:03.807Z,scored,,3.664,6.61,6.61,m,100%,model,
conor-mcgregor,7.0,m,white,train,conor-mcgregor/2.jpg,images/roster/conor-mcgregor/2.jpg,2.jpg,2026-08-18T10:58:04.017Z,scored,,3.301,6.24,6.24,m,100%,model,
conor-mcgregor,7.0,m,white,train,conor-mcgregor/3.jpg,images/roster/conor-mcgregor/3.jpg,3.jpg,2026-08-18T10:58:04.230Z,scored,,2.897,5.66,5.66,m,100%,model,non-standard framing (head tilted sideways (~13°)) — scored on your override; expect a rougher read.
conor-mcgregor,7.0,m,white,train,conor-mcgregor/5.jpg,images/roster/conor-mcgregor/5.jpg,5.jpg,2026-08-18T10:58:04.437Z,scored,,3.478,6.41,6.41,m,100%,model,non-standard framing (head tilted sideways (~10°)) — scored on your override; expect a rougher read.
courtney-clenney,7.9,f,white,holdout,courtney-clenney/1.jpg,images/roster/courtney-clenney/1.jpg,1.jpg,2026-08-18T10:58:04.657Z,scored,,4.013,7.29,7.29,f,100%,model,non-standard framing (head tilted sideways (~15°)) — scored on your override; expect a rougher read.
courtney-clenney,7.9,f,white,holdout,courtney-clenney/2.jpg,images/roster/courtney-clenney/2.jpg,2.jpg,2026-08-18T10:58:04.865Z,scored,,3.200,6.14,6.14,f,100%,model,"small/distant face (~133px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head tilted sideways (~18°)) — scored on your override; expect a rougher read."
cristiano-ronaldo,9.0,m,white,holdout,cristiano-ronaldo/1.jpg,images/roster/cristiano-ronaldo/1.jpg,1.jpg,2026-08-18T10:58:05.074Z,scored,,3.222,6.16,6.16,m,100%,model,
cristiano-ronaldo,9.0,m,white,holdout,cristiano-ronaldo/2.jpg,images/roster/cristiano-ronaldo/2.jpg,2.jpg,2026-08-18T10:58:05.285Z,scored,,3.474,6.40,6.40,m,100%,model,non-standard framing (head turned (~22°)) — scored on your override; expect a rougher read.
cristiano-ronaldo,9.0,m,white,holdout,cristiano-ronaldo/3.jpg,images/roster/cristiano-ronaldo/3.jpg,3.jpg,2026-08-18T10:58:05.500Z,refused,This angle is too far off to measure — head turned (~35°). Retake facing the camera square-on.,,,,,,,
cristiano-ronaldo,9.0,m,white,holdout,cristiano-ronaldo/4.jpg,images/roster/cristiano-ronaldo/4.jpg,4.jpg,2026-08-18T10:58:06.063Z,scored,,3.658,6.60,6.60,m,100%,model,
cristiano-ronaldo,9.0,m,white,holdout,cristiano-ronaldo/5.jpg,images/roster/cristiano-ronaldo/5.jpg,5.jpg,2026-08-18T10:58:06.287Z,scored,,3.694,6.64,6.64,m,100%,model,non-standard framing (head turned (~22°)) — scored on your override; expect a rougher read.
dan-bilzerian,6.0,m,white,train,dan-bilzerian/1.jpg,images/roster/dan-bilzerian/1.jpg,1.jpg,2026-08-18T10:58:06.505Z,scored,,3.870,6.92,6.92,m,100%,model,
dan-bilzerian,6.0,m,white,train,dan-bilzerian/2.jpg,images/roster/dan-bilzerian/2.jpg,2.jpg,2026-08-18T10:58:06.720Z,refused,This angle is too far off to measure — head turned (~27°). Retake facing the camera square-on.,,,,,,,
danny-devito,2.5,m,white,train,danny-devito/1.jpg,images/roster/danny-devito/1.jpg,1.jpg,2026-08-18T10:58:07.298Z,scored,,3.380,6.31,6.31,m,96%,model,
danny-devito,2.5,m,white,train,danny-devito/4.jpg,images/roster/danny-devito/4.jpg,4.jpg,2026-08-18T10:58:07.513Z,scored,,2.602,4.28,4.28,m,94%,model,non-standard framing (head turned (~20°)) — scored on your override; expect a rougher read.
danny-devito,2.5,m,white,train,danny-devito/5.jpg,images/roster/danny-devito/5.jpg,5.jpg,2026-08-18T10:58:07.728Z,scored,,2.821,5.41,5.41,m,100%,model,
danny-devito,2.5,m,white,train,danny-devito/6.jpg,images/roster/danny-devito/6.jpg,6.jpg,2026-08-18T10:58:07.934Z,scored,,2.677,4.68,4.68,m,100%,model,
danny-devito,2.5,m,white,train,danny-devito/7.jpg,images/roster/danny-devito/7.jpg,7.jpg,2026-08-18T10:58:08.137Z,scored,,2.831,5.46,5.46,m,100%,model,non-standard framing (head turned (~13°)) — scored on your override; expect a rougher read.
denzel-washington,8.8,m,black,holdout,denzel-washington/1.jpg,images/roster/denzel-washington/1.jpg,1.jpg,2026-08-18T10:58:08.356Z,scored,,1.862,2.08,2.08,m,100%,model,
denzel-washington,8.8,m,black,holdout,denzel-washington/2.jpg,images/roster/denzel-washington/2.jpg,2.jpg,2026-08-18T10:58:08.571Z,scored,,2.352,3.30,3.30,m,100%,model,non-standard framing (head turned (~19°)) — scored on your override; expect a rougher read.
denzel-washington,8.8,m,black,holdout,denzel-washington/3.jpg,images/roster/denzel-washington/3.jpg,3.jpg,2026-08-18T10:58:08.792Z,refused,This angle is too far off to measure — head turned (~29°). Retake facing the camera square-on.,,,,,,,
denzel-washington,8.8,m,black,holdout,denzel-washington/4.jpg,images/roster/denzel-washington/4.jpg,4.jpg,2026-08-18T10:58:09.415Z,scored,,2.201,2.75,2.75,m,100%,model,
dev-patel,8.0,m,south-asian,train,dev-patel/3.jpg,images/roster/dev-patel/3.jpg,3.jpg,2026-08-18T10:58:09.619Z,scored,,2.829,5.45,5.45,m,100%,model,non-standard framing (head turned (~24°)) — scored on your override; expect a rougher read.
dev-patel,8.0,m,south-asian,train,dev-patel/6.jpg,images/roster/dev-patel/6.jpg,6.jpg,2026-08-18T10:58:09.841Z,scored,,3.260,6.20,6.20,m,100%,model,non-standard framing (head tilted sideways (~22°)) — scored on your override; expect a rougher read.
dev-patel,8.0,m,south-asian,train,dev-patel/7.jpg,images/roster/dev-patel/7.jpg,7.jpg,2026-08-18T10:58:10.051Z,scored,,3.682,6.62,6.62,m,100%,model,
dev-patel,8.0,m,south-asian,train,dev-patel/8.jpg,images/roster/dev-patel/8.jpg,8.jpg,2026-08-18T10:58:10.249Z,scored,,3.963,7.12,7.12,m,100%,model,non-standard framing (head turned (~13°); head tilted sideways (~17°)) — scored on your override; expect a rougher read.
dev-patel,8.0,m,south-asian,train,dev-patel/9.jpg,images/roster/dev-patel/9.jpg,9.jpg,2026-08-18T10:58:10.459Z,scored,,3.685,6.63,6.63,m,100%,model,
dizzykitten,7.2,f,white,train,dizzykitten/1.jpg,images/roster/dizzykitten/1.jpg,1.jpg,2026-08-18T10:58:10.663Z,scored,,3.239,6.18,6.18,f,100%,model,non-standard framing (head turned (~24°)) — scored on your override; expect a rougher read.
dizzykitten,7.2,f,white,train,dizzykitten/2.jpg,images/roster/dizzykitten/2.jpg,2.jpg,2026-08-18T10:58:10.887Z,refused,This angle is too far off to measure — head turned (~29°); head tilted sideways (~12°). Retake facing the camera square-on.,,,,,,,
dizzykitten,7.2,f,white,train,dizzykitten/4.jpg,images/roster/dizzykitten/4.jpg,4.jpg,2026-08-18T10:58:11.473Z,scored,,2.730,4.93,4.93,f,100%,model,non-standard framing (head turned (~24°); head tilted sideways (~19°)) — scored on your override; expect a rougher read.
dizzykitten,7.2,f,white,train,dizzykitten/5.jpg,images/roster/dizzykitten/5.jpg,5.jpg,2026-08-18T10:58:11.685Z,refused,This angle is too far off to measure — head turned (~25°). Retake facing the camera square-on.,,,,,,,
dolly-parton,8.0,f,white,train,dolly-parton/1.jpg,images/roster/dolly-parton/1.jpg,1.jpg,2026-08-18T10:58:12.255Z,scored,,2.450,3.64,3.64,f,100%,model,
dolly-parton,8.0,f,white,train,dolly-parton/2.jpg,images/roster/dolly-parton/2.jpg,2.jpg,2026-08-18T10:58:12.461Z,scored,,3.376,6.31,6.31,f,100%,model,
dolly-parton,8.0,f,white,train,dolly-parton/3.jpg,images/roster/dolly-parton/3.jpg,3.jpg,2026-08-18T10:58:12.670Z,scored,,2.635,4.45,4.45,f,100%,model,non-standard framing (head turned (~12°)) — scored on your override; expect a rougher read.
dolly-parton,8.0,f,white,train,dolly-parton/4.jpg,images/roster/dolly-parton/4.jpg,4.jpg,2026-08-18T10:58:12.876Z,scored,,3.119,6.04,6.04,f,100%,model,"small/distant face (~103px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~18°)) — scored on your override; expect a rougher read."
drake,7.0,m,mixed,validation,drake/2.jpg,images/roster/drake/2.jpg,2.jpg,2026-08-18T10:58:13.084Z,scored,,3.199,6.14,6.14,m,100%,model,"small/distant face (~109px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~13°)) — scored on your override; expect a rougher read."
drake,7.0,m,mixed,validation,drake/4.jpg,images/roster/drake/4.jpg,4.jpg,2026-08-18T10:58:13.292Z,scored,,3.227,6.17,6.17,m,100%,model,
drake,7.0,m,mixed,validation,drake/5.jpg,images/roster/drake/5.jpg,5.jpg,2026-08-18T10:58:13.522Z,scored,,3.511,6.43,6.43,m,100%,model,
drake,7.0,m,mixed,validation,drake/6.jpg,images/roster/drake/6.jpg,6.jpg,2026-08-18T10:58:13.746Z,scored,,3.469,6.40,6.40,m,100%,model,non-standard framing (head tilted sideways (~16°)) — scored on your override; expect a rougher read.
dwayne-johnson,7.5,m,mixed,holdout,dwayne-johnson/1.jpg,images/roster/dwayne-johnson/1.jpg,1.jpg,2026-08-18T10:58:13.986Z,scored,,3.720,6.67,6.67,m,100%,model,non-standard framing (head turned (~16°)) — scored on your override; expect a rougher read.
dwayne-johnson,7.5,m,mixed,holdout,dwayne-johnson/2.jpg,images/roster/dwayne-johnson/2.jpg,2.jpg,2026-08-18T10:58:14.219Z,scored,,3.805,6.80,6.80,m,100%,model,
dwayne-johnson,7.5,m,mixed,holdout,dwayne-johnson/3.jpg,images/roster/dwayne-johnson/3.jpg,3.jpg,2026-08-18T10:58:14.428Z,scored,,2.889,5.64,5.64,m,100%,model,
dwayne-johnson,7.5,m,mixed,holdout,dwayne-johnson/4.jpg,images/roster/dwayne-johnson/4.jpg,4.jpg,2026-08-18T10:58:14.633Z,scored,,4.047,7.43,7.43,m,100%,model,
dwayne-johnson,7.5,m,mixed,holdout,dwayne-johnson/5.jpg,images/roster/dwayne-johnson/5.jpg,5.jpg,2026-08-18T10:58:14.841Z,scored,,3.418,6.35,6.35,m,100%,model,
ed-sheeran,4.5,m,white,validation,ed-sheeran/1.jpg,images/roster/ed-sheeran/1.jpg,1.jpg,2026-08-18T10:58:15.046Z,scored,,3.912,6.99,6.99,f,54%,model,
ed-sheeran,4.5,m,white,validation,ed-sheeran/2.jpg,images/roster/ed-sheeran/2.jpg,2.jpg,2026-08-18T10:58:15.256Z,scored,,3.688,6.63,6.63,m,78%,model,
ed-sheeran,4.5,m,white,validation,ed-sheeran/3.jpg,images/roster/ed-sheeran/3.jpg,3.jpg,2026-08-18T10:58:15.459Z,scored,,4.058,7.47,7.47,m,85%,model,non-standard framing (head tilted sideways (~10°)) — scored on your override; expect a rougher read.
ed-sheeran,4.5,m,white,validation,ed-sheeran/4.jpg,images/roster/ed-sheeran/4.jpg,4.jpg,2026-08-18T10:58:15.671Z,scored,,3.847,6.87,6.87,m,95%,model,non-standard framing (head turned (~21°)) — scored on your override; expect a rougher read.
ed-sheeran,4.5,m,white,validation,ed-sheeran/5.jpg,images/roster/ed-sheeran/5.jpg,5.jpg,2026-08-18T10:58:15.885Z,scored,,3.864,6.91,6.91,m,67%,model,
elizabeth-holmes,5.0,f,white,train,elizabeth-holmes/1.jpg,images/roster/elizabeth-holmes/1.jpg,1.jpg,2026-08-18T10:58:16.110Z,scored,,3.685,6.63,6.63,f,100%,model,non-standard framing (head turned (~14°); head tilted sideways (~11°)) — scored on your override; expect a rougher read.
elizabeth-holmes,5.0,f,white,train,elizabeth-holmes/2.jpg,images/roster/elizabeth-holmes/2.jpg,2.jpg,2026-08-18T10:58:16.335Z,scored,,3.605,6.54,6.54,f,100%,model,
elizabeth-holmes,5.0,f,white,train,elizabeth-holmes/3.jpg,images/roster/elizabeth-holmes/3.jpg,3.jpg,2026-08-18T10:58:16.541Z,scored,,4.434,9.09,9.09,f,100%,model,
elizabeth-holmes,5.0,f,white,train,elizabeth-holmes/4.jpg,images/roster/elizabeth-holmes/4.jpg,4.jpg,2026-08-18T10:58:16.750Z,refused,This angle is too far off to measure — head turned (~44°). Retake facing the camera square-on.,,,,,,,
elizabeth-holmes,5.0,f,white,train,elizabeth-holmes/5.jpg,images/roster/elizabeth-holmes/5.jpg,5.jpg,2026-08-18T10:58:17.333Z,scored,,3.637,6.58,6.58,f,100%,model,
elizabeth-olsen,8.0,f,white,holdout,elizabeth-olsen/1.jpg,images/roster/elizabeth-olsen/1.jpg,1.jpg,2026-08-18T10:58:17.541Z,refused,This angle is too far off to measure — head turned (~31°); head tilted sideways (~10°). Retake facing the camera square-on.,,,,,,,
elizabeth-olsen,8.0,f,white,holdout,elizabeth-olsen/4.jpg,images/roster/elizabeth-olsen/4.jpg,4.jpg,2026-08-18T10:58:18.125Z,scored,,3.083,5.99,5.99,f,100%,model,
elizabeth-olsen,8.0,f,white,holdout,elizabeth-olsen/6.jpg,images/roster/elizabeth-olsen/6.jpg,6.jpg,2026-08-18T10:58:18.356Z,scored,,3.344,6.28,6.28,f,99%,model,
elizabeth-olsen,8.0,f,white,holdout,elizabeth-olsen/7.jpg,images/roster/elizabeth-olsen/7.jpg,7.jpg,2026-08-18T10:58:18.571Z,scored,,2.603,4.28,4.28,f,100%,model,
elizabeth-olsen,8.0,f,white,holdout,elizabeth-olsen/8.jpg,images/roster/elizabeth-olsen/8.jpg,8.jpg,2026-08-18T10:58:18.781Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
elon-musk,5.5,m,white,train,elon-musk/1.jpg,images/roster/elon-musk/1.jpg,1.jpg,2026-08-18T10:58:19.349Z,refused,This angle is too far off to measure — head turned (~24°); head tilted sideways (~29°). Retake facing the camera square-on.,,,,,,,
elon-musk,5.5,m,white,train,elon-musk/2.jpg,images/roster/elon-musk/2.jpg,2.jpg,2026-08-18T10:58:19.925Z,scored,,2.735,4.96,4.96,m,100%,model,non-standard framing (head turned (~16°)) — scored on your override; expect a rougher read.
elon-musk,5.5,m,white,train,elon-musk/5.jpg,images/roster/elon-musk/5.jpg,5.jpg,2026-08-18T10:58:20.142Z,scored,,3.143,6.08,6.08,m,100%,model,non-standard framing (head turned (~13°)) — scored on your override; expect a rougher read.
elon-musk,5.5,m,white,train,elon-musk/3.jpg,images/roster/elon-musk/3.jpg,3.jpg,2026-08-18T10:58:20.384Z,scored,,2.888,5.63,5.63,m,99%,model,
elon-musk,5.5,m,white,train,elon-musk/6.jpg,images/roster/elon-musk/6.jpg,6.jpg,2026-08-18T10:58:20.605Z,scored,,2.806,5.35,5.35,m,100%,model,non-standard framing (head turned (~14°)) — scored on your override; expect a rougher read.
eminem,6.6,m,white,validation,eminem/1.jpg,images/roster/eminem/1.jpg,1.jpg,2026-08-18T10:58:20.830Z,scored,,3.223,6.16,6.16,m,100%,model,non-standard framing (head turned (~14°)) — scored on your override; expect a rougher read.
eminem,6.6,m,white,validation,eminem/2.jpg,images/roster/eminem/2.jpg,2.jpg,2026-08-18T10:58:21.037Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
eminem,6.6,m,white,validation,eminem/3.jpg,images/roster/eminem/3.jpg,3.jpg,2026-08-18T10:58:21.614Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
eminem,6.6,m,white,validation,eminem/4.jpg,images/roster/eminem/4.jpg,4.jpg,2026-08-18T10:58:22.197Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
emma-blackery,6.5,f,white,train,emma-blackery/1.jpg,images/roster/emma-blackery/1.jpg,1.jpg,2026-08-18T10:58:22.761Z,scored,,4.293,8.55,8.55,f,100%,model,non-standard framing (head turned (~16°)) — scored on your override; expect a rougher read.
emma-blackery,6.5,f,white,train,emma-blackery/2.jpg,images/roster/emma-blackery/2.jpg,2.jpg,2026-08-18T10:58:22.995Z,scored,,3.612,6.55,6.55,f,100%,model,non-standard framing (head tilted sideways (~18°)) — scored on your override; expect a rougher read.
emma-blackery,6.5,f,white,train,emma-blackery/3.jpg,images/roster/emma-blackery/3.jpg,3.jpg,2026-08-18T10:58:23.244Z,refused,This angle is too far off to measure — head turned (~46°). Retake facing the camera square-on.,,,,,,,
emma-blackery,6.5,f,white,train,emma-blackery/4.jpg,images/roster/emma-blackery/4.jpg,4.jpg,2026-08-18T10:58:23.863Z,scored,,4.110,7.65,7.65,f,100%,model,
emma-stone,8.0,f,white,holdout,emma-stone/1.jpg,images/roster/emma-stone/1.jpg,1.jpg,2026-08-18T10:58:24.066Z,scored,,3.017,5.90,5.90,f,100%,model,
emma-stone,8.0,f,white,holdout,emma-stone/3.jpg,images/roster/emma-stone/3.jpg,3.jpg,2026-08-18T10:58:24.290Z,scored,,3.815,6.81,6.81,f,100%,model,
emma-stone,8.0,f,white,holdout,emma-stone/4.jpg,images/roster/emma-stone/4.jpg,4.jpg,2026-08-18T10:58:24.501Z,scored,,3.419,6.36,6.36,f,99%,model,
emma-stone,8.0,f,white,holdout,emma-stone/5.jpg,images/roster/emma-stone/5.jpg,5.jpg,2026-08-18T10:58:24.741Z,scored,,3.067,5.97,5.97,f,100%,model,non-standard framing (head turned (~14°); head tilted sideways (~12°)) — scored on your override; expect a rougher read.
emma-stone,8.0,f,white,holdout,emma-stone/6.jpg,images/roster/emma-stone/6.jpg,6.jpg,2026-08-18T10:58:24.971Z,scored,,3.599,6.53,6.53,f,100%,model,"small/distant face (~148px of real detail) — score is rougher than a tight, sharp headshot."
emma-watson,8.0,f,white,holdout,emma-watson/2.jpg,images/roster/emma-watson/2.jpg,2.jpg,2026-08-18T10:58:25.197Z,scored,,4.127,7.72,7.72,f,100%,model,
emma-watson,8.0,f,white,holdout,emma-watson/3.jpg,images/roster/emma-watson/3.jpg,3.jpg,2026-08-18T10:58:25.430Z,scored,,3.798,6.78,6.78,f,100%,model,
emma-watson,8.0,f,white,holdout,emma-watson/5.jpg,images/roster/emma-watson/5.jpg,5.jpg,2026-08-18T10:58:25.666Z,scored,,3.913,7.00,7.00,f,100%,model,
emma-watson,8.0,f,white,holdout,emma-watson/6.jpg,images/roster/emma-watson/6.jpg,6.jpg,2026-08-18T10:58:25.883Z,scored,,4.144,7.79,7.79,f,100%,model,
emma-watson,8.0,f,white,holdout,emma-watson/7.jpg,images/roster/emma-watson/7.jpg,7.jpg,2026-08-18T10:58:26.130Z,scored,,4.208,8.12,8.12,f,100%,model,
emmy-rossum,8.0,f,white,validation,emmy-rossum/2.jpg,images/roster/emmy-rossum/2.jpg,2.jpg,2026-08-18T10:58:26.363Z,scored,,3.359,6.29,6.29,f,100%,model,
emmy-rossum,8.0,f,white,validation,emmy-rossum/3.jpg,images/roster/emmy-rossum/3.jpg,3.jpg,2026-08-18T10:58:26.572Z,scored,,4.156,7.84,7.84,f,100%,model,
emmy-rossum,8.0,f,white,validation,emmy-rossum/6.jpg,images/roster/emmy-rossum/6.jpg,6.jpg,2026-08-18T10:58:26.779Z,scored,,4.061,7.48,7.48,f,97%,model,non-standard framing (head turned (~18°)) — scored on your override; expect a rougher read.
emmy-rossum,8.0,f,white,validation,emmy-rossum/7.jpg,images/roster/emmy-rossum/7.jpg,7.jpg,2026-08-18T10:58:26.991Z,scored,,4.272,8.41,8.41,f,100%,model,
emmy-rossum,8.0,f,white,validation,emmy-rossum/8.jpg,images/roster/emmy-rossum/8.jpg,8.jpg,2026-08-18T10:58:27.210Z,scored,,3.523,6.44,6.44,f,100%,model,
evil-addams,7.8,f,white,holdout,evil-addams/1.jpg,images/roster/evil-addams/1.jpg,1.jpg,2026-08-18T10:58:27.417Z,scored,,4.194,8.04,8.04,f,100%,model,
evil-addams,7.8,f,white,holdout,evil-addams/2.jpg,images/roster/evil-addams/2.jpg,2.jpg,2026-08-18T10:58:27.622Z,refused,This angle is too far off to measure — head turned (~29°); head tilted sideways (~12°). Retake facing the camera square-on.,,,,,,,
evil-addams,7.8,f,white,holdout,evil-addams/3.jpg,images/roster/evil-addams/3.jpg,3.jpg,2026-08-18T10:58:28.194Z,scored,,3.104,6.02,6.02,f,100%,model,non-standard framing (head tilted sideways (~17°)) — scored on your override; expect a rougher read.
evil-addams,7.8,f,white,holdout,evil-addams/4.jpg,images/roster/evil-addams/4.jpg,4.jpg,2026-08-18T10:58:28.416Z,scored,,4.266,8.37,8.37,f,100%,model,non-standard framing (head turned (~13°); head tilted sideways (~17°)) — scored on your override; expect a rougher read.
evil-addams,7.8,f,white,holdout,evil-addams/5.jpg,images/roster/evil-addams/5.jpg,5.jpg,2026-08-18T10:58:28.674Z,scored,,3.651,6.59,6.59,f,100%,model,"small/distant face (~70px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head tilted sideways (~11°)) — scored on your override; expect a rougher read."
farrah-abraham,5.8,f,white,validation,farrah-abraham/1.jpg,images/roster/farrah-abraham/1.jpg,1.jpg,2026-08-18T10:58:28.929Z,scored,,3.574,6.50,6.50,f,100%,model,
farrah-abraham,5.8,f,white,validation,farrah-abraham/2.jpg,images/roster/farrah-abraham/2.jpg,2.jpg,2026-08-18T10:58:29.182Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
frivolousfox,7.2,f,white,holdout,frivolousfox/1.jpg,images/roster/frivolousfox/1.jpg,1.jpg,2026-08-18T10:58:29.741Z,scored,,3.902,6.97,6.97,f,100%,model,non-standard framing (head tilted sideways (~15°)) — scored on your override; expect a rougher read.
frivolousfox,7.2,f,white,holdout,frivolousfox/2.jpg,images/roster/frivolousfox/2.jpg,2.jpg,2026-08-18T10:58:29.963Z,scored,,3.747,6.71,6.71,f,100%,model,non-standard framing (head tilted sideways (~13°)) — scored on your override; expect a rougher read.
frivolousfox,7.2,f,white,holdout,frivolousfox/3.jpg,images/roster/frivolousfox/3.jpg,3.jpg,2026-08-18T10:58:30.172Z,scored,,3.827,6.83,6.83,f,100%,model,non-standard framing (head tilted sideways (~15°)) — scored on your override; expect a rougher read.
frivolousfox,7.2,f,white,holdout,frivolousfox/4.jpg,images/roster/frivolousfox/4.jpg,4.jpg,2026-08-18T10:58:30.404Z,scored,,3.584,6.51,6.51,f,100%,model,non-standard framing (head turned (~13°); head tilted sideways (~13°)) — scored on your override; expect a rougher read.
gab-smolders,6.5,f,white,train,gab-smolders/1.jpg,images/roster/gab-smolders/1.jpg,1.jpg,2026-08-18T10:58:30.615Z,scored,,3.597,6.53,6.53,f,100%,model,non-standard framing (head turned (~18°)) — scored on your override; expect a rougher read.
gab-smolders,6.5,f,white,train,gab-smolders/2.jpg,images/roster/gab-smolders/2.jpg,2.jpg,2026-08-18T10:58:30.837Z,scored,,3.668,6.61,6.61,f,100%,model,non-standard framing (head tilted sideways (~22°)) — scored on your override; expect a rougher read.
gab-smolders,6.5,f,white,train,gab-smolders/3.jpg,images/roster/gab-smolders/3.jpg,3.jpg,2026-08-18T10:58:31.059Z,refused,This angle is too far off to measure — head turned (~28°); head tilted sideways (~15°). Retake facing the camera square-on.,,,,,,,
gab-smolders,6.5,f,white,train,gab-smolders/5.jpg,images/roster/gab-smolders/5.jpg,5.jpg,2026-08-18T10:58:31.654Z,scored,,3.833,6.84,6.84,f,100%,model,"small/distant face (~102px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~22°); head tilted sideways (~17°)) — scored on your override; expect a rougher read."
gal-gadot,9.0,f,middle-eastern,train,gal-gadot/1.jpg,images/roster/gal-gadot/1.jpg,1.jpg,2026-08-18T10:58:31.857Z,scored,,3.667,6.61,6.61,f,99%,model,
gal-gadot,9.0,f,middle-eastern,train,gal-gadot/3.jpg,images/roster/gal-gadot/3.jpg,3.jpg,2026-08-18T10:58:32.083Z,scored,,3.866,6.91,6.91,f,100%,model,
